DATA SET ; NODES ; TRAINING TIME ; NETWORK PREDICT
2000; 100; 3.371866; 87.100000
2000; 150; 5.154714; 85.700000
2000; 200; 7.019705; 83.400000
2000; 250; 8.870293; 86.200000
2000; 300; 10.676676; 91.000000
2000; 350; 12.467258; 84.700000
2000; 400; 14.273357; 88.200000
2000; 450; 16.104949; 86.100000
2000; 500; 17.884664; 88.900000
2000; 550; 19.754449; 82.200000
2000; 600; 21.512687; 82.900000
2000; 650; 23.672534; 85.700000
2000; 700; 25.451811; 85.100000
2000; 750; 27.061099; 79.800000
2000; 800; 26.565112; 90.200000
2000; 850; 28.203862; 83.000000
2000; 900; 30.057321; 90.500000
2000; 950; 31.501320; 85.000000
2000; 1000; 33.411400; 84.400000
2000; 1050; 35.142341; 87.100000
2000; 1100; 36.656377; 84.700000
2000; 1150; 38.308145; 85.000000
2000; 1200; 40.147115; 84.300000
2000; 1250; 41.719205; 89.700000
2000; 1300; 43.752440; 87.000000
2000; 1350; 45.206526; 84.900000
2000; 1400; 46.600785; 88.000000
2000; 1450; 48.724863; 87.200000
2000; 1500; 50.282120; 86.800000
